Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
859166,Carvers,Populated Place,Nye County,Nevada,Carvers,1720,38.7865977,-117.1792539,None,12/12/1980,10500,U6,null,null,32023,32
845399,Caselton,Populated Place,Lincoln County,Nevada,Pioche,1893,37.9191297,-114.4852707,None,12/12/1980,10900,U6,null,null,32017,32
845400,Caselton Heights,Populated Place,Lincoln County,Nevada,Pioche,1847,37.9138519,-114.4791594,None,12/12/1980,10965,U6,null,null,32017,32
851014,Cave Valley (historical),Populated Place,Lincoln County,Nevada,Parker Station,1968,38.6432825,-114.8041742,None,5/1/1990,null,null,null,null,32017,32
862777,Cavecreek (historical),Populated Place,Elko County,Nevada,Ruby Lake NW,1829,40.1999299,-115.4925473,None,4/1/1990,null,null,null,null,32007,32
852137,Cañon Creek Station (historical),Populated Place,Humboldt County,Nevada,South of McDermitt,1443,41.7887809,-117.6645829,None,8/1/1990,null,null,null,null,32013,32
863227,Cedarhurst (historical),Populated Place,Lincoln County,Nevada,Trail Canyon,2029,38.2666258,-114.2708194,None,7/1/1991,null,null,null,null,32017,32
859193,Centerville,Populated Place,Douglas County,Nevada,Minden,1440,38.9104623,-119.7793442,None,12/12/1980,11100,U6,null,null,32005,32
862302,Centerville (historical),Populated Place,White Pine County,Nevada,Silver Canyon,2256,39.7432699,-114.6089077,None,12/1/1989,null,null,null,null,32033,32
846124,Central (historical),Populated Place,Pershing County,Nevada,Woody Canyon,1490,40.7821264,-118.1334764,None,12/1/1990,null,null,null,null,32027,32
854835,Central (historical),Populated Place,Nye County,Nevada,Manhattan,2011,38.5396555,-117.1095278,None,10/1/1990,null,null,null,null,32023,32
852721,Central Rochester (historical),Populated Place,Pershing County,Nevada,Rochester,1810,40.2896317,-118.1781952,None,3/1/1991,null,null,null,null,32027,32
859199,Charleston,Populated Place,Elko County,Nevada,Annie Creek,1852,41.6707417,-115.5106263,None,12/12/1980,11300,U6,null,null,32007,32
857939,Cherry Creek,Populated Place,White Pine County,Nevada,Exchequer Spring,1863,39.9004891,-114.8858603,None,12/12/1980,12100,U6,null,null,32033,32
852025,Cherry Creek (historical),Populated Place,Pershing County,Nevada,Inskip Canyon,1917,40.5721297,-117.8884647,None,8/1/1990,null,null,null,null,32027,32
855990,Churchill,Populated Place,Lyon County,Nevada,Churchill Butte,1291,39.2715845,-119.280992,None,12/12/1980,12400,U6,null,null,32019,32
855991,Clan Alpine (historical),Populated Place,Churchill County,Nevada,Clan Alpine Ranch,1706,39.5368649,-117.8353973,None,12/12/1980,12600,U6,null,null,32001,32
854901,Clark,Populated Place,Storey County,Nevada,Derby Dam,1298,39.5640791,-119.4815666,None,12/12/1980,12700,U6,null,null,32029,32
848173,Clarkdale (historical),Populated Place,Nye County,Nevada,Tolicha Peak SW,1404,37.269378,-116.9153466,None,1/1/1991,null,null,null,null,32023,32
857335,Clarks (historical),Populated Place,Washoe County,Nevada,Derby Dam,1285,39.5849122,-119.4662883,None,10/1/1991,null,null,null,null,32031,32
856679,Clarksville (historical),Populated Place,Pershing County,Nevada,Arabia,1459,40.3126854,-118.4937609,None,10/1/1991,null,null,null,null,32027,32
857699,Clemens (historical),Populated Place,Churchill County,Nevada,Buena Vista Hills South,1206,39.9718575,-118.2176391,None,5/1/1992,null,null,null,null,32001,32
850920,Cleveland (historical),Populated Place,White Pine County,Nevada,Yelland Dry Lake,1715,39.2554975,-114.4869501,None,4/1/1990,null,null,null,null,32033,32
855992,Clifside,Populated Place,Elko County,Nevada,Silver Zone Pass,1670,40.9160388,-114.2772417,1/1/1973,12/12/1980,12900,U6,null,null,32007,32
